title,brand,salesSite,isEachShippingFee,isPremium,isCrossBorderShipping,isOnlineOnly,shippingFee,shippingFreeOver,availableDeliveryJeju,availableDeliveryIsland,shippingFeeJeju,shippingFeeIsland,courierCompany,pdtName,optionName1,optionName2,totalReviewQty,totalScore,tagList1,tagList2,tagList3,tagList4,ctgL4Id,thumbImgPath1,thumbImgPath2,thumbImgPath3,thumbImgPath4,detailImgPath,modelCode1,optionValue1,optionValue2,stock1,price1,modelCode2,optionValue3,optionValue4,stock2,price2,modelCode3,optionValue5,optionValue6,stock3,price3,modelCode4,optionValue7,optionValue8,stock4,price4,returnCity,returnStreet,returnDetail,returnPostalCode,exchangeShippingFee,returnShippingFee,consignmentName,consignmentCity,consignmentStreet,consignmentDetail,consignmentPostalCode,mailOrderNum
이나바 인기 고양이 간식 챠오츄르 외 4P x 15봉 (60p),이나바,이마트몰,true,false,true,true,10000,50000,true,true,5000,10000,우체국택배,운동기구,색상,사이즈,136,32,간식,옷,반팔티,주니어,424,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://gi.esmplus.com/sim9326/%EB%AF%BC%EC%A7%80/0725_SSG_ALL/C_1.jpg,920193850,pink,M,451,8112090,TEE-NEW JDI SWOOSH,black,SS,966,1370520,920193850,blue,SS,928,5426410,TEE-NEW JDI SWOOSH,pink,L,963,3156070,Jeju,Haeundae,노란대문,98475,2500,5000,넥스트젠팩,Seoul,Gangnam,노란대문,98475,2015-대구중구-1234
더스크랙 무게조절덤벨 누오 크롬덤벨 중량 4kg~24kg,인텍스,신세계백화점,true,true,false,true,10000,50000,true,true,5000,7000,CJ택배,수영장,색상,사이즈,456,23,고양이,주니어,옷,반팔티,1233,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sstatic.ssgcdn.com/cmpt/edit/202206/02/092022060209470267080105614110_237.jpg,920193850,green,S,561,6086520,TEE-NEW JDI SWOOSH,green,M,775,6328460,920193850,pink,SS,547,119350,920193850,blue,SS,541,1828600,Seoul,Haeundae,노란대문,23853,3000,3000,넥스트젠팩,Jeju,Gangnam,405호,98475,2022-부산-1234
더스크랙 무게조절덤벨 누오 크롬덤벨 중량 4kg~24kg,나이키,이마트몰,false,true,true,false,10000,50000,true,true,7000,10000,CJ택배,운동기구,색상,사이즈,381,22,나이키,고양이,푸마,셔츠,12,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,920193850,red,SS,597,8795150,91058392,blue,L,374,1645280,920193850,pink,L,825,172930,920193850,red,XL,441,7108980,Jeju,Gangnam,101호,12345,3000,5000,넥스트젠팩,Jeju,Haeundae,1F,23853,2015-대구중구-1234
"[INTEX] 인텍스 자쿠지, 어린이 물놀이 수영장, 풀장 중대 베스트 ACC 모음전",인텍스,신세계몰,false,false,true,true,3000,50000,true,true,3000,10000,우체국택배,운동기구,색상,사이즈,451,25,고양이밥,바벨,셔츠,반팔티,419,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,920193850,blue,L,265,4165050,91058392,black,SS,452,9303180,920193850,green,S,105,3330030,TEE-NEW JDI SWOOSH,black,XL,914,2215740,Seoul,Gangnam,101호,98475,6000,2500,넥스트젠팩,Busan,Gangnam,노란대문,12345,2022-부산-1234
[나이키/푸마外] 22 S/S 반팔티셔츠 라운드넥 기본 로고 남자 여성 주니어 반팔티 63종,나이키,신세계백화점,false,true,true,true,10000,1000000,true,true,5000,7000,CJ택배,츄르,색상,사이즈,117,38,중량,반팔티,츄르,티셔츠,2576,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://duskrack.negagea.kr/Detail/dumbbell/duskcromedumbbell/GIF/Hooking/Hooking_chromedumbell_09.png,91058392,blue,SS,675,4861250,91058392,red,XL,55,4308690,920193850,pink,XL,819,4092920,TEE-NEW JDI SWOOSH,green,XL,347,5437980,Jeju,Gangnam,405호,13245,6000,3000,넥스트젠팩,Busan,Haeundae,노란대문,98475,2015-대구중구-1234
[나이키/푸마外] 22 S/S 반팔티셔츠 라운드넥 기본 로고 남자 여성 주니어 반팔티 63종,인텍스,신세계몰,false,false,true,true,10000,1000000,true,true,3000,10000,CJ택배,티셔츠,색상,사이즈,475,29,푸마,주니어,중량,고양이,2675,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sstatic.ssgcdn.com/cmpt/edit/202206/02/092022060209470267080105614110_237.jpg,920193850,blue,M,269,2131240,920193850,blue,XL,330,4163120,TEE-NEW JDI SWOOSH,black,M,937,9491060,91058392,red,S,916,4335370,Seoul,Haeundae,1F,12345,3000,2500,넥스트젠팩,Seoul,Haeundae,1F,13245,2022-부산-1234
[나이키/푸마外] 22 S/S 반팔티셔츠 라운드넥 기본 로고 남자 여성 주니어 반팔티 63종,인텍스,신세계백화점,false,false,false,false,3000,50000,true,true,7000,7000,CJ택배,수영장,색상,사이즈,73,6,수영장,고양이,고양이,옷,1368,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sstatic.ssgcdn.com/cmpt/edit/202206/02/092022060209470267080105614110_237.jpg,91058392,pink,SS,397,2245540,920193850,green,L,826,9904400,TEE-NEW JDI SWOOSH,red,S,57,2238460,91058392,green,L,646,4037760,Jeju,Gangnam,101호,13245,5000,6000,넥스트젠팩,Jeju,Gangnam,1F,13245,2015-대구중구-1234
[나이키/푸마外] 22 S/S 반팔티셔츠 라운드넥 기본 로고 남자 여성 주니어 반팔티 63종,인텍스,신세계백화점,false,true,true,true,0,1000000,true,true,7000,10000,CJ택배,수영장,색상,사이즈,405,13,츄르,츄르,덤벨,나이키,425,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://gi.esmplus.com/sim9326/%EB%AF%BC%EC%A7%80/0725_SSG_ALL/C_1.jpg,TEE-NEW JDI SWOOSH,red,M,350,1369050,91058392,pink,S,572,4508340,TEE-NEW JDI SWOOSH,red,XL,568,2453350,TEE-NEW JDI SWOOSH,blue,L,909,4861030,Jeju,Haeundae,노란대문,13245,6000,6000,넥스트젠팩,Busan,Gangnam,405호,13245,2015-대구중구-1234
[나이키/푸마外] 22 S/S 반팔티셔츠 라운드넥 기본 로고 남자 여성 주니어 반팔티 63종,이나바,신세계몰,false,true,true,true,3000,1000000,true,true,5000,10000,CJ택배,운동기구,색상,사이즈,88,42,주니어,푸마,수영장,고양이,1240,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/07/65/17/item/1000030176507_i1_1200.jpg,https://sitem.ssgcdn.com/23/04/22/item/1000045220423_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://gi.esmplus.com/sim9326/%EB%AF%BC%EC%A7%80/0725_SSG_ALL/C_1.jpg,91058392,blue,M,998,7075360,91058392,black,L,186,9889080,TEE-NEW JDI SWOOSH,blue,S,147,456570,91058392,pink,XL,918,6819110,Busan,Haeundae,1F,13245,2500,6000,넥스트젠팩,Jeju,Haeundae,노란대문,23853,2015-대구중구-1234
더스크랙 무게조절덤벨 누오 크롬덤벨 중량 4kg~24kg,인텍스,이마트몰,false,true,false,false,10000,1000000,true,true,5000,7000,CJ택배,운동기구,색상,사이즈,35,34,중량,바벨,티셔츠,수영장,936,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sitem.ssgcdn.com/95/22/82/item/1000438822295_i1_1200.jpg,https://sstatic.ssgcdn.com/cmpt/edit/202206/02/092022060209470267080105614110_237.jpg,920193850,green,XL,288,5356020,920193850,green,SS,826,7596290,91058392,red,SS,222,4187990,920193850,green,L,969,2169090,Seoul,Haeundae,101호,23853,3000,6000,넥스트젠팩,Busan,Haeundae,405호,13245,2022-부산-1234
